date,customer,sales,no_of_products
2023-01-02,0000008687,982.75,3
2023-01-03,0000008687,2753.0,9
2023-01-04,0000008687,1456.26,4
2023-01-05,0000008687,1147.25,4
2023-01-06,0000008687,552.75,1
2023-01-07,0000008687,417.5,1
2023-01-11,0000008687,2416.51,9
2023-01-13,0000008687,208.75,1
2023-01-16,0000008687,437.25,3
2023-01-17,0000008687,1672.0,6
2023-01-18,0000008687,882.25,3
2023-01-19,0000008687,615.5,2
2023-01-20,0000008687,1696.75,3
2023-01-23,0000008687,2604.0,9
2023-01-24,0000008687,1496.25,6
2023-01-26,0000008687,832.0,3
2023-01-30,0000008687,1841.75,6
2023-01-31,0000008687,2717.75,9
2023-02-01,0000008687,899.25,3
2023-02-03,0000008687,648.5,1
2023-02-06,0000008687,1721.25,5
2023-02-07,0000008687,4800.76,12
2023-02-08,0000008687,359.5,1
2023-02-09,0000008687,782.5,2
2023-02-10,0000008687,468.0,1
2023-02-13,0000008687,851.25,3
2023-02-14,0000008687,442.75,2
2023-02-15,0000008687,888.75,3
2023-02-16,0000008687,149.75,1
2023-02-17,0000008687,184.25,1
2023-02-20,0000008687,1802.0,5
2023-02-21,0000008687,3323.01,8
2023-02-23,0000008687,651.5,2
2023-02-24,0000008687,234.0,1
2023-02-27,0000008687,2071.0,5
2023-02-28,0000008687,1228.75,6
2023-03-01,0000008687,393.5,2
2023-03-02,0000008687,1111.0,5
2023-03-03,0000008687,395.5,1
2023-03-05,0000008687,77.7,1
2023-03-06,0000008687,1165.75,3
2023-03-07,0000008687,996.25,3
2023-03-12,0000008687,194.5,1
2023-03-13,0000008687,597.75,2
2023-03-14,0000008687,1284.75,4
2023-03-15,0000008687,227.75,1
2023-03-16,0000008687,194.5,1
2023-03-17,0000008687,199.25,1
2023-03-20,0000008687,-447.0,4
2023-03-21,0000008687,850.5,3
2023-03-22,0000008687,948.25,3
2023-03-24,0000008687,451.5,1
2023-03-27,0000008687,2010.5,5
2023-03-28,0000008687,1666.0,4
2023-03-29,0000008687,194.25,1
2023-03-30,0000008687,452.0,2
2023-03-31,0000008687,1920.25,5
2023-04-03,0000008687,478.5,2
2023-04-04,0000008687,425.0,2
2023-04-05,0000008687,1028.5,3
2023-04-10,0000008687,387.5,2
2023-04-11,0000008687,3084.5,8
2023-04-12,0000008687,684.25,2
2023-04-13,0000008687,1169.75,3
2023-04-17,0000008687,2209.0,7
2023-04-18,0000008687,2761.5,8
2023-04-21,0000008687,194.5,1
2023-04-23,0000008687,394.5,1
2023-04-24,0000008687,2163.75,6
2023-04-25,0000008687,2105.5,7
2023-04-26,0000008687,505.5,1
2023-04-27,0000008687,388.5,1
2023-04-30,0000008687,194.25,1
2023-05-01,0000008687,1815.0,7
2023-05-02,0000008687,2711.0,8
2023-05-08,0000008687,1391.25,7
2023-05-09,0000008687,1207.75,4
2023-05-10,0000008687,161.75,1
2023-05-11,0000008687,71.0,3
2023-05-15,0000008687,1367.75,5
2023-05-16,0000008687,1342.75,4
2023-05-17,0000008687,1710.25,7
2023-05-18,0000008687,447.0,4
2023-05-19,0000008687,505.5,1
2023-05-21,0000008687,161.75,1
2023-05-22,0000008687,1805.0,6
2023-05-23,0000008687,1032.25,10
2023-05-24,0000008687,361.0,2
2023-05-25,0000008687,1516.0,6
2023-05-26,0000008687,394.5,1
2023-05-29,0000008687,161.75,1
2023-05-30,0000008687,1822.25,7
2023-05-31,0000008687,389.0,1
2023-06-01,0000008687,387.5,2
2023-06-05,0000008687,1052.5,5
2023-06-06,0000008687,967.0,3
2023-06-07,0000008687,1385.0,4
2023-06-08,0000008687,560.25,2
2023-06-12,0000008687,1637.5,7
2023-06-13,0000008687,853.25,3
2023-06-14,0000008687,1343.0,5
2023-06-15,0000008687,398.5,1
2023-06-19,0000008687,1551.5,7
2023-06-20,0000008687,194.5,1
2023-06-21,0000008687,2122.75,5
2023-06-26,0000008687,640.25,3
2023-06-27,0000008687,199.25,1
2023-06-28,0000008687,389.0,1
2023-06-29,0000008687,3142.0,7
2024-01-04,0010000863,7770.0,1
2024-01-08,0010000863,-3885.0,1
2024-01-23,0010000863,1717.5,2
2024-02-01,0010000863,939.5,1
2024-02-13,0010000863,939.5,1
2024-02-21,0010000863,939.5,1
2024-03-06,0010000863,6612.0,1
2024-03-20,0010000863,206.0,1
